tanaman,gejala,manfaat,efek_samping,referensi
Ciplukan (Physalis angulata),"gangguan imun, nyeri sendi, diabetes, stres oksidatif","antihipertensi, imunomodulator, antidiabetes","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465.; HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6.; Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127."
Sirih Cina (Peperomia pellucida),"nyeri otot, infeksi bakteri, peradangan, nyeri sendi","antioksidan, antimikroba, analgesik","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465.; Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36."
Ciplukan (Physalis angulata),"nyeri sendi, gangguan imun, radikal bebas","antioksidan, antiinflamasi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465.; Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127.; Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36."
Sirih Cina (Peperomia pellucida),"peradangan, radikal bebas, nyeri otot, nyeri sendi","antimikroba, analgesik","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127.; Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141.; HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6."
Ciplukan (Physalis angulata),"diabetes, radikal bebas, nyeri sendi, peradangan","antiinflamasi, antidiabetes, antioksidan","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141.; Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465.; Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127."
Sirih Cina (Peperomia pellucida),"radikal bebas, peradangan, nyeri sendi, infeksi bakteri","antioksidan, antiinflamasi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179.; Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465.; Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36."
Ciplukan (Physalis angulata),"stres oksidatif, peradangan, radikal bebas","imunomodulator, antioksidan, antihipertensi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179.; Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465."
Sirih Cina (Peperomia pellucida),"radikal bebas, nyeri sendi, peradangan","antimikroba, antiinflamasi, analgesik","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141.; Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36."
Ciplukan (Physalis angulata),"nyeri sendi, radikal bebas, stres oksidatif, gangguan imun","imunomodulator, antioksidan","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179.; HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6."
Sirih Cina (Peperomia pellucida),"peradangan, nyeri otot, nyeri sendi","antiinflamasi, antioksidan, analgesik","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Salim, Z., & Munadi, E. (2017). Tanaman Obat. Badan Pengkajian dan Pengembangan Perdagangan Kementerian Perdagangan Republik Indonesia.; Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465.; Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43."
Ciplukan (Physalis angulata),"radikal bebas, nyeri sendi","antidiabetes, antioksidan, antiinflamasi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127.; Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36.; Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465."
Sirih Cina (Peperomia pellucida),"infeksi bakteri, nyeri sendi, peradangan","antimikroba, analgesik, antioksidan","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465.; Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141.; Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36."
Ciplukan (Physalis angulata),"stres oksidatif, diabetes, peradangan","antioksidan, antiinflamasi, antidiabetes","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43.; Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465.; Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141."
Sirih Cina (Peperomia pellucida),"infeksi bakteri, peradangan, nyeri otot, nyeri sendi","antiinflamasi, antioksidan","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141.; Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127."
Ciplukan (Physalis angulata),"gangguan imun, diabetes, nyeri sendi","antihipertensi, antidiabetes, imunomodulator","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465.; Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127."
Sirih Cina (Peperomia pellucida),"peradangan, nyeri sendi","antimikroba, antioksidan","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6.; Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36."
Ciplukan (Physalis angulata),"radikal bebas, gangguan imun, hipertensi, nyeri sendi","antihipertensi, imunomodulator, antiinflamasi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6.; Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36.; Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127."
Sirih Cina (Peperomia pellucida),"peradangan, nyeri sendi, radikal bebas, infeksi bakteri","analgesik, antimikroba","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465.; Salim, Z., & Munadi, E. (2017). Tanaman Obat. Badan Pengkajian dan Pengembangan Perdagangan Kementerian Perdagangan Republik Indonesia.; Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36."
Ciplukan (Physalis angulata),"gangguan imun, stres oksidatif, diabetes, peradangan","antiinflamasi, antioksidan","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465.; HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6."
Sirih Cina (Peperomia pellucida),"nyeri otot, infeksi bakteri, peradangan, radikal bebas","antimikroba, analgesik, antioksidan","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Salim, Z., & Munadi, E. (2017). Tanaman Obat. Badan Pengkajian dan Pengembangan Perdagangan Kementerian Perdagangan Republik Indonesia.; Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36.; Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127."
Ciplukan (Physalis angulata),"hipertensi, radikal bebas, gangguan imun, stres oksidatif","imunomodulator, antioksidan, antiinflamasi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36.; Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43.; Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127."
Sirih Cina (Peperomia pellucida),"nyeri sendi, peradangan, radikal bebas, infeksi bakteri","antiinflamasi, antioksidan","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141.; HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6.; Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43."
Ciplukan (Physalis angulata),"peradangan, diabetes, radikal bebas","antihipertensi, imunomodulator, antiinflamasi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465.; Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36."
Sirih Cina (Peperomia pellucida),"nyeri otot, infeksi bakteri, nyeri sendi","antioksidan, analgesik, antiinflamasi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141.; Salim, Z., & Munadi, E. (2017). Tanaman Obat. Badan Pengkajian dan Pengembangan Perdagangan Kementerian Perdagangan Republik Indonesia."
Ciplukan (Physalis angulata),"gangguan imun, diabetes, hipertensi","antihipertensi, imunomodulator, antidiabetes","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141.; Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43.; Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179."
Sirih Cina (Peperomia pellucida),"peradangan, radikal bebas, infeksi bakteri, nyeri otot","antioksidan, antimikroba, antiinflamasi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127.; Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141."
Ciplukan (Physalis angulata),"radikal bebas, peradangan, stres oksidatif","antihipertensi, antioksidan","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179.; HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6.; Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127."
Sirih Cina (Peperomia pellucida),"nyeri otot, radikal bebas","analgesik, antiinflamasi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6.; Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36.; Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43."
Ciplukan (Physalis angulata),"nyeri sendi, peradangan, gangguan imun","antioksidan, antihipertensi, antiinflamasi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127.; Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179."
